NamedEntity-Location: Deutschland |frequenzy: 11308
NamedEntity-Location: Naturkatastrophen |frequenzy: 8
NamedEntity-Location: Tarifsteigerungen |frequenzy: 8
NamedEntity-Location: EU-Außengrenzen |frequenzy: 8
NamedEntity-Location: Basel |frequenzy: 8
NamedEntity-Location: Modellregionen |frequenzy: 8
NamedEntity-Location: Hongkongs |frequenzy: 8
NamedEntity-Location: Ordnungswidrigkeiten |frequenzy: 8
NamedEntity-Location: Fachkräftemangel |frequenzy: 8
NamedEntity-Location: EU-Regeln |frequenzy: 8
NamedEntity-Location: Freihandel |frequenzy: 8
NamedEntity-Location: Steinmeier-Formel |frequenzy: 8
NamedEntity-Location: Bußgeld |frequenzy: 8
NamedEntity-Location: Weiße Haus |frequenzy: 8
NamedEntity-Location: Umsatzsteuerbetrug |frequenzy: 8
NamedEntity-Location: Marokkos |frequenzy: 8
NamedEntity-Location: New Yorker |frequenzy: 8
NamedEntity-Location: Haldenwang |frequenzy: 8
NamedEntity-Location: Corona-App |frequenzy: 8
NamedEntity-Location: Friedrichshain-Kreuzberg |frequenzy: 8
NamedEntity-Location: Stadt Wien |frequenzy: 8
NamedEntity-Location: Kollegin Hajduk |frequenzy: 8
NamedEntity-Location: Durchschnittseinkommens |frequenzy: 8
NamedEntity-Location: Sachen Digitalisierung |frequenzy: 8
NamedEntity-Location: Dritteln |frequenzy: 8
NamedEntity-Location: Staat |frequenzy: 8
NamedEntity-Location: Bodens |frequenzy: 8
NamedEntity-Location: Kollege Hahn |frequenzy: 8
NamedEntity-Location: Marrakesch-Richtlinie |frequenzy: 8
NamedEntity-Location: Museum |frequenzy: 8
NamedEntity-Location: Pfullendorf |frequenzy: 8
NamedEntity-Location: Ladentheke |frequenzy: 8
NamedEntity-Location: Bescheinigungen |frequenzy: 8
NamedEntity-Location: Bargeld |frequenzy: 8
NamedEntity-Location: Tunesier |frequenzy: 8
NamedEntity-Location: Öffnungsklauseln |frequenzy: 8
NamedEntity-Location: Finanzämter |frequenzy: 8
NamedEntity-Location: Vertragsstrafen |frequenzy: 8
NamedEntity-Location: Rentenalter |frequenzy: 8
NamedEntity-Location: Herrn Höcke |frequenzy: 8
NamedEntity-Location: Unverantwortlich |frequenzy: 8
NamedEntity-Location: Riester-Rente |frequenzy: 8
NamedEntity-Location: Handlungsfeld |frequenzy: 8
NamedEntity-Location: Westerwelle |frequenzy: 8
NamedEntity-Location: Weltwirtschaftsforums |frequenzy: 8
NamedEntity-Location: Cannabiskonsum |frequenzy: 8
NamedEntity-Location: Wahlkampfzeiten |frequenzy: 8
NamedEntity-Location: Lehrpersonal |frequenzy: 8
NamedEntity-Location: Investitionsausgaben |frequenzy: 8
NamedEntity-Location: Ungarns |frequenzy: 8
NamedEntity-Location: Diskriminierungen |frequenzy: 8
NamedEntity-Location: Krefeld |frequenzy: 8
NamedEntity-Location: Burka |frequenzy: 8
NamedEntity-Location: Gesetzentwurfs |frequenzy: 8
NamedEntity-Location: Leine |frequenzy: 8
NamedEntity-Location: Rechnungshofes |frequenzy: 8
NamedEntity-Location: Wohngelds |frequenzy: 8
NamedEntity-Location: Neukölln |frequenzy: 8
NamedEntity-Location: Schilde |frequenzy: 8
NamedEntity-Location: Marokkaner |frequenzy: 8
NamedEntity-Location: Trump |frequenzy: 8
NamedEntity-Location: Koulikoro |frequenzy: 8
NamedEntity-Location: Coronaleugner |frequenzy: 8
NamedEntity-Location: Kriegsallianz |frequenzy: 8
NamedEntity-Location: Istanbul-Konvention |frequenzy: 8
NamedEntity-Location: Hoppenstedt |frequenzy: 8
NamedEntity-Location: Statistischen Bundesamts |frequenzy: 8
NamedEntity-Location: Finanzierungskreislauf Straße |frequenzy: 8
NamedEntity-Location: Dumping |frequenzy: 8
NamedEntity-Location: Attac |frequenzy: 8
NamedEntity-Location: Herr Krings |frequenzy: 8
NamedEntity-Location: Bergamo |frequenzy: 8
NamedEntity-Location: Auftragsbücher |frequenzy: 8
NamedEntity-Location: Grüße |frequenzy: 8
NamedEntity-Location: betriebliche Altersvorsorge |frequenzy: 8
NamedEntity-Location: Moldau |frequenzy: 8
NamedEntity-Location: Routine |frequenzy: 8
NamedEntity-Location: Entwicklungsfonds |frequenzy: 8
NamedEntity-Location: Lebensministerium |frequenzy: 8
NamedEntity-Location: Arbeitsmarkt |frequenzy: 8
NamedEntity-Location: Handlungsdruck |frequenzy: 8
NamedEntity-Location: Radwegen |frequenzy: 8
NamedEntity-Location: Generalaussprache |frequenzy: 8
NamedEntity-Location: Freiberuflern |frequenzy: 8
NamedEntity-Location: Alleinerziehenden |frequenzy: 8
NamedEntity-Location: Ostpreußen |frequenzy: 8
NamedEntity-Location: Deutschlandweit |frequenzy: 8
NamedEntity-Location: Infektionsrate |frequenzy: 8
NamedEntity-Location: UN-Organisationen |frequenzy: 8
NamedEntity-Location: Krisengewinner |frequenzy: 7
NamedEntity-Location: würden – |frequenzy: 7
NamedEntity-Location: Deutschen Landkreistages |frequenzy: 7
NamedEntity-Location: Allgemeinen Geschäftsbedingungen |frequenzy: 7
NamedEntity-Location: Reservistinnen |frequenzy: 7
NamedEntity-Location: Körpers |frequenzy: 7
NamedEntity-Location: UN-Einsatz |frequenzy: 7
NamedEntity-Location: Förderlücke |frequenzy: 7
NamedEntity-Location: Stolpersteine |frequenzy: 7
NamedEntity-Location: al-Qaida |frequenzy: 7
NamedEntity-Location: Libanesen |frequenzy: 7
NamedEntity-Location: Subsidiaritätsrüge |frequenzy: 7
NamedEntity-Location: Ausbildern |frequenzy: 7
NamedEntity-Location: Lobbyist |frequenzy: 7
NamedEntity-Location: Ihrem Amt |frequenzy: 7
NamedEntity-Location: Kollegen Fricke |frequenzy: 7
NamedEntity-Location: HevelingChristian HirteDr |frequenzy: 7
NamedEntity-Location: CSUKlaus-Dieter |frequenzy: 7
NamedEntity-Location: Prager |frequenzy: 7
NamedEntity-Location: Antragstellers |frequenzy: 7
NamedEntity-Location: Lingen |frequenzy: 7
NamedEntity-Location: Clankriminalität |frequenzy: 7
NamedEntity-Location: Sudans |frequenzy: 7
NamedEntity-Location: Interpol |frequenzy: 7
NamedEntity-Location: Arbeitsministeriums |frequenzy: 7
NamedEntity-Location: Lebensmittelbereich |frequenzy: 7
NamedEntity-Location: Mogadischu |frequenzy: 7
NamedEntity-Location: Boston |frequenzy: 7
NamedEntity-Location: Landgericht Berlin |frequenzy: 7
NamedEntity-Location: Offenbach |frequenzy: 7
NamedEntity-Location: Nadelstreifen |frequenzy: 7
NamedEntity-Location: Saarlouis |frequenzy: 7
NamedEntity-Location: Starnberger See |frequenzy: 7
NamedEntity-Location: Gießen |frequenzy: 7
NamedEntity-Location: Kreißsälen |frequenzy: 7
NamedEntity-Location: Neulich |frequenzy: 7
NamedEntity-Location: Maximalforderungen |frequenzy: 7
NamedEntity-Location: Stau |frequenzy: 7
NamedEntity-Location: Kabel |frequenzy: 7
NamedEntity-Location: Medienwand |frequenzy: 7
NamedEntity-Location: Ludwigshafen am Rhein |frequenzy: 7
NamedEntity-Location: Haus Europa |frequenzy: 7
NamedEntity-Location: PV-Deckels |frequenzy: 7
NamedEntity-Location: Wilhelmshaven |frequenzy: 7
NamedEntity-Location: Unterhaltsvorschusses |frequenzy: 7
NamedEntity-Location: Iran-Abkommens |frequenzy: 7
NamedEntity-Location: Asylanträgen |frequenzy: 7
NamedEntity-Location: täuschen |frequenzy: 7
NamedEntity-Location: Bündnispartner |frequenzy: 7
NamedEntity-Location: Wohnimmobilien |frequenzy: 7
NamedEntity-Location: Klimakiller |frequenzy: 7
NamedEntity-Location: Land Thüringen |frequenzy: 7
NamedEntity-Location: Menschenwürde |frequenzy: 7
NamedEntity-Location: Nüßlein |frequenzy: 7
NamedEntity-Location: strukturschwach |frequenzy: 7
NamedEntity-Location: Herr de Vries |frequenzy: 7
NamedEntity-Location: Helmholtz-Zentrum |frequenzy: 7
NamedEntity-Location: Windindustrieanlagen |frequenzy: 7
NamedEntity-Location: Zukunftskommission |frequenzy: 7
NamedEntity-Location: Wendt |frequenzy: 7
NamedEntity-Location: Kompromisse |frequenzy: 7
NamedEntity-Location: Wohlergehen |frequenzy: 7
NamedEntity-Location: Ordnung – |frequenzy: 7
NamedEntity-Location: Stadt Köln |frequenzy: 7
NamedEntity-Location: Paritätische Wohlfahrtsverband |frequenzy: 7
NamedEntity-Location: Industrien |frequenzy: 7
NamedEntity-Location: Tagespflege |frequenzy: 7
NamedEntity-Location: Vorsitzes |frequenzy: 7
NamedEntity-Location: Verlässlichkeit |frequenzy: 7
NamedEntity-Location: Fachpolitikerinnen |frequenzy: 7
NamedEntity-Location: Frustration |frequenzy: 7
NamedEntity-Location: Jänschwalde |frequenzy: 7
NamedEntity-Location: Schulessen |frequenzy: 7
NamedEntity-Location: Behördenleiter |frequenzy: 7
NamedEntity-Location: Bälde |frequenzy: 7
NamedEntity-Location: widersinnig |frequenzy: 7
NamedEntity-Location: Anrede |frequenzy: 7
NamedEntity-Location: prekär |frequenzy: 7
NamedEntity-Location: Integrationspolitik |frequenzy: 7
NamedEntity-Location: Klimaschützer |frequenzy: 7
NamedEntity-Location: Grün |frequenzy: 7
NamedEntity-Location: Bundesbürger |frequenzy: 7
NamedEntity-Location: Donezk |frequenzy: 7
NamedEntity-Location: Coaching |frequenzy: 7
NamedEntity-Location: Wording |frequenzy: 7
NamedEntity-Location: Herr Liebich |frequenzy: 7
NamedEntity-Location: Mutes |frequenzy: 7
NamedEntity-Location: Ullrich |frequenzy: 7
NamedEntity-Location: Veranstaltern |frequenzy: 7
NamedEntity-Location: Himmelsrichtungen |frequenzy: 7
NamedEntity-Location: Kreise |frequenzy: 7
NamedEntity-Location: Stunden |frequenzy: 7
NamedEntity-Location: Babywindeln |frequenzy: 7
NamedEntity-Location: Impfdosen |frequenzy: 7
NamedEntity-Location: Istzustand |frequenzy: 7
NamedEntity-Location: Theke |frequenzy: 7
NamedEntity-Location: Schimke |frequenzy: 7
NamedEntity-Location: Tirol |frequenzy: 7
NamedEntity-Location: Republik Kosovo |frequenzy: 7
NamedEntity-Location: Begreifen |frequenzy: 7
NamedEntity-Location: Verwaltungsdienstleistungen |frequenzy: 7
NamedEntity-Location: Minister Maas |frequenzy: 7
NamedEntity-Location: US-Amerikanern |frequenzy: 7
NamedEntity-Location: Ruhr |frequenzy: 7
NamedEntity-Location: Sondersitzungen |frequenzy: 7
NamedEntity-Location: Demokratischen Republik Kongo |frequenzy: 7
NamedEntity-Location: Rechtssicherheit |frequenzy: 7
NamedEntity-Location: Rechtsfriedens |frequenzy: 7
NamedEntity-Location: Systemfrage |frequenzy: 7
NamedEntity-Location: Risikokapital |frequenzy: 7
NamedEntity-Location: Herr Ullrich |frequenzy: 7
NamedEntity-Location: Volksentscheide |frequenzy: 7
NamedEntity-Location: Tollhaus |frequenzy: 7
NamedEntity-Location: Gefährliche |frequenzy: 7
NamedEntity-Location: Landkreise |frequenzy: 7
NamedEntity-Location: Waldbränden |frequenzy: 7
NamedEntity-Location: Republik Moldau |frequenzy: 7
NamedEntity-Location: Karliczek |frequenzy: 7
NamedEntity-Location: Auskunftspflichten |frequenzy: 7
NamedEntity-Location: Shutdown |frequenzy: 7
NamedEntity-Location: Feindstaatenklausel |frequenzy: 7
NamedEntity-Location: Peterka |frequenzy: 7
NamedEntity-Location: Wären |frequenzy: 7
NamedEntity-Location: Ankündigungen |frequenzy: 7
NamedEntity-Location: Mietmarkt |frequenzy: 7
NamedEntity-Location: ThomasLutzeDIE |frequenzy: 7
NamedEntity-Location: Bildungsleistungen |frequenzy: 7
NamedEntity-Location: Großkonzerne |frequenzy: 7
NamedEntity-Location: Salzburg |frequenzy: 7
NamedEntity-Location: Aufklärungskampagne |frequenzy: 7
NamedEntity-Location: Nepal |frequenzy: 7
NamedEntity-Location: Sri Lanka |frequenzy: 7
NamedEntity-Location: Bundeskartellamtes |frequenzy: 7
NamedEntity-Location: Innovationsprinzip |frequenzy: 7
NamedEntity-Location: Oslo |frequenzy: 7
NamedEntity-Location: Schüssen |frequenzy: 7
NamedEntity-Location: Buchenwald |frequenzy: 7
NamedEntity-Location: Marzahn |frequenzy: 7
NamedEntity-Location: Frauenhaus |frequenzy: 7
NamedEntity-Location: Max-Planck-Institut |frequenzy: 7
NamedEntity-Location: Nähkästchen |frequenzy: 7
NamedEntity-Location: schaue |frequenzy: 7
NamedEntity-Location: Dialogs |frequenzy: 7
NamedEntity-Location: Hannover Messe |frequenzy: 7
NamedEntity-Location: Tube |frequenzy: 7
NamedEntity-Location: Ehrenamtes |frequenzy: 7
NamedEntity-Location: Oberfranken |frequenzy: 7
NamedEntity-Location: Klauseln |frequenzy: 7
NamedEntity-Location: Bundesinstitut für Arzneimittel und Medizinprodukte |frequenzy: 7
NamedEntity-Location: Bundeskabinett |frequenzy: 7
NamedEntity-Location: Landkreis |frequenzy: 7
NamedEntity-Location: dran |frequenzy: 7
NamedEntity-Location: Strafverschärfungen |frequenzy: 7
NamedEntity-Location: Herr Gelbhaar |frequenzy: 7
NamedEntity-Location: Pendeln |frequenzy: 7
NamedEntity-Location: Honduras |frequenzy: 7
NamedEntity-Location: Arbeitsschutzes |frequenzy: 7
NamedEntity-Location: Mitteleinsatz |frequenzy: 7
NamedEntity-Location: Bayerisch |frequenzy: 7
NamedEntity-Location: Herrenchiemsee |frequenzy: 7
NamedEntity-Location: Werra |frequenzy: 7
NamedEntity-Location: Zentralirak |frequenzy: 7
NamedEntity-Location: Know-how |frequenzy: 7
NamedEntity-Location: Windrädern |frequenzy: 7
NamedEntity-Location: Podolay |frequenzy: 7
NamedEntity-Location: Wilkau-Haßlau |frequenzy: 7
NamedEntity-Location: Coesfeld |frequenzy: 7
NamedEntity-Location: Pazifik |frequenzy: 7
NamedEntity-Location: Oppositionelle |frequenzy: 7
NamedEntity-Location: Ingolstadt |frequenzy: 7
NamedEntity-Location: Weißrussen |frequenzy: 7
NamedEntity-Location: Koalitionsparteien |frequenzy: 7
NamedEntity-Location: Kettenbefristungen |frequenzy: 7
NamedEntity-Location: Mittelstandsbauchs |frequenzy: 7
NamedEntity-Location: Gemeinwesens |frequenzy: 7
NamedEntity-Location: Spaniens |frequenzy: 7
NamedEntity-Location: Finnen |frequenzy: 7
NamedEntity-Location: Schwestern |frequenzy: 7
NamedEntity-Location: Westberlin |frequenzy: 7
NamedEntity-Location: Partnerschaftsgewalt |frequenzy: 7
NamedEntity-Location: Wohnpauschale |frequenzy: 7
NamedEntity-Location: Tierhaltern |frequenzy: 7
NamedEntity-Location: Wettbewerbsvorteile |frequenzy: 7
NamedEntity-Location: Elfenbeinküste |frequenzy: 7
NamedEntity-Location: Schweinepest |frequenzy: 7
NamedEntity-Location: Kollegen Daldrup |frequenzy: 7
NamedEntity-Location: Ebermast |frequenzy: 7
NamedEntity-Location: Arbeitslosengeld |frequenzy: 7
NamedEntity-Location: Altena |frequenzy: 7
NamedEntity-Location: Waldes |frequenzy: 7
NamedEntity-Location: Leerstände |frequenzy: 7
NamedEntity-Location: Kommunalinvestitionsförderungsfonds |frequenzy: 7
NamedEntity-Location: Stift |frequenzy: 7
NamedEntity-Location: Mitgliedstaaten |frequenzy: 7
NamedEntity-Location: Wichtiges |frequenzy: 7
NamedEntity-Location: Wissenschaftlichen Dienst |frequenzy: 7
NamedEntity-Location: Abstimmungsverhaltens |frequenzy: 7
NamedEntity-Location: Krummhörn |frequenzy: 7
NamedEntity-Location: Bundeshaushaltes |frequenzy: 7
NamedEntity-Location: Bologna |frequenzy: 7
NamedEntity-Location: Haftbefehle |frequenzy: 7
NamedEntity-Location: Monstadt |frequenzy: 7
NamedEntity-Location: Heimbewohner |frequenzy: 7
NamedEntity-Location: Terrorregime |frequenzy: 7
NamedEntity-Location: Loben |frequenzy: 7
NamedEntity-Location: Berufsfeld |frequenzy: 7
NamedEntity-Location: europäischen Kontinents |frequenzy: 7
NamedEntity-Location: Auschwitz-Birkenau |frequenzy: 7
NamedEntity-Location: Schreck |frequenzy: 7
NamedEntity-Location: Kein Staat |frequenzy: 7
NamedEntity-Location: Haushaltsdebatten |frequenzy: 7
NamedEntity-Location: Keynes |frequenzy: 7
NamedEntity-Location: Jugendfreiwilligendienste |frequenzy: 7
NamedEntity-Location: Absätze |frequenzy: 7
NamedEntity-Location: Superlative |frequenzy: 7
NamedEntity-Location: Bedürfnissen |frequenzy: 7
NamedEntity-Location: Präambel |frequenzy: 7
NamedEntity-Location: Abgasskandal |frequenzy: 7
NamedEntity-Location: Cuxhaven |frequenzy: 7
NamedEntity-Location: Stadt Frankfurt |frequenzy: 7
NamedEntity-Location: Stenografen |frequenzy: 7
NamedEntity-Location: Somalias |frequenzy: 7
NamedEntity-Location: Strafzöllen |frequenzy: 7
NamedEntity-Location: Impfstoffs |frequenzy: 7
NamedEntity-Location: Herrschaft des Unrechts |frequenzy: 7
NamedEntity-Location: Beitragsmitteln |frequenzy: 7
NamedEntity-Location: PatriciaLipsCDU |frequenzy: 7
NamedEntity-Location: Bundesbehörden |frequenzy: 7
NamedEntity-Location: Sydney |frequenzy: 7
NamedEntity-Location: Wirtschaftswachstum |frequenzy: 7
NamedEntity-Location: KapMuG |frequenzy: 7
NamedEntity-Location: Expertenmeinungen |frequenzy: 7
NamedEntity-Location: Herr Lambsdorff |frequenzy: 7
NamedEntity-Location: Schadholz |frequenzy: 7
NamedEntity-Location: Dienstes |frequenzy: 7
NamedEntity-Location: europäischen Staat |frequenzy: 7
NamedEntity-Location: Pensionsfonds |frequenzy: 7
NamedEntity-Location: Verordnungen |frequenzy: 7
NamedEntity-Location: Fernstraßen-Bundesamt |frequenzy: 7
NamedEntity-Location: Erbschaftsteuer |frequenzy: 7
NamedEntity-Location: E-Scooter |frequenzy: 7
NamedEntity-Location: BfArM |frequenzy: 7
NamedEntity-Location: Generalbundesanwalts |frequenzy: 7
NamedEntity-Location: Dänemarks |frequenzy: 7
NamedEntity-Location: Rechtes |frequenzy: 7
NamedEntity-Location: Innovationsfonds |frequenzy: 7
NamedEntity-Location: AndreasMattfeldtCDU |frequenzy: 7
NamedEntity-Location: Umfelds |frequenzy: 7
NamedEntity-Location: Guttenberg |frequenzy: 7
NamedEntity-Location: Umerziehungslagern |frequenzy: 7
NamedEntity-Location: Braindrain |frequenzy: 7
NamedEntity-Location: Absurde |frequenzy: 7
NamedEntity-Location: Funklöchern |frequenzy: 7
NamedEntity-Location: Bundesrechtsanwaltskammer |frequenzy: 7
NamedEntity-Location: Scheinlösungen |frequenzy: 7
NamedEntity-Location: Wirkens |frequenzy: 7
NamedEntity-Location: No-go-Areas |frequenzy: 7
NamedEntity-Location: Bildungsstand |frequenzy: 7
NamedEntity-Location: Sonderausschreibungen |frequenzy: 7
NamedEntity-Location: Biarritz |frequenzy: 7
NamedEntity-Location: Compliance-Regeln |frequenzy: 7
NamedEntity-Location: Anlegerschutzes |frequenzy: 7
NamedEntity-Location: Mieterhöhungen |frequenzy: 7
NamedEntity-Location: Uruguay |frequenzy: 7
NamedEntity-Location: Abschaffen |frequenzy: 7
NamedEntity-Location: Städtebaus |frequenzy: 7
NamedEntity-Location: digital |frequenzy: 7
NamedEntity-Location: türkischen Grenze |frequenzy: 7
NamedEntity-Location: Westdeutscher |frequenzy: 7
NamedEntity-Location: Normenkontrollrat |frequenzy: 7
NamedEntity-Location: Vorhinein |frequenzy: 7
NamedEntity-Location: Tages |frequenzy: 7
NamedEntity-Location: Limassol |frequenzy: 7
NamedEntity-Location: CDA |frequenzy: 7
NamedEntity-Location: Rückkehrrecht |frequenzy: 7
NamedEntity-Location: Elternhauses |frequenzy: 7
NamedEntity-Location: Beispiels |frequenzy: 7
NamedEntity-Location: Willkür |frequenzy: 7
NamedEntity-Location: Portugiesen |frequenzy: 7
NamedEntity-Location: Taschen |frequenzy: 7
NamedEntity-Location: Exodus |frequenzy: 7
NamedEntity-Location: Einheitliche Patentgericht |frequenzy: 7
NamedEntity-Location: Kinderkanal |frequenzy: 7
NamedEntity-Location: Luxemburg Leaks |frequenzy: 7
NamedEntity-Location: Befristungen |frequenzy: 7
NamedEntity-Location: Luksic |frequenzy: 7
NamedEntity-Location: Ställe |frequenzy: 6
NamedEntity-Location: Mikrofon |frequenzy: 6
NamedEntity-Location: Anpassungsgeld |frequenzy: 6
NamedEntity-Location: Ihrem Haushalt |frequenzy: 6
NamedEntity-Location: Greening |frequenzy: 6
NamedEntity-Location: Zentrum der Debatte |frequenzy: 6
NamedEntity-Location: Sanierungsstau |frequenzy: 6
NamedEntity-Location: Bundespersonalvertretungsgesetzes |frequenzy: 6
NamedEntity-Location: Justizministeriums |frequenzy: 6
NamedEntity-Location: Herr Hahn |frequenzy: 6
NamedEntity-Location: Aufholpaket |frequenzy: 6
NamedEntity-Location: Seitz |frequenzy: 6
NamedEntity-Location: Großen |frequenzy: 6
NamedEntity-Location: ’ |frequenzy: 6
NamedEntity-Location: Dividenden |frequenzy: 6
NamedEntity-Location: Asowschen Meer |frequenzy: 6
NamedEntity-Location: Herr Kober |frequenzy: 6
NamedEntity-Location: Osmanischen Reich |frequenzy: 6
NamedEntity-Location: Bakterien |frequenzy: 6
NamedEntity-Location: Tadschi |frequenzy: 6
NamedEntity-Location: Bedürftigen |frequenzy: 6
NamedEntity-Location: Lippe |frequenzy: 6
NamedEntity-Location: Koalitionsfrieden |frequenzy: 6
NamedEntity-Location: Meldescheine |frequenzy: 6
NamedEntity-Location: Backe |frequenzy: 6
NamedEntity-Location: Alfred-Wegener-Institut |frequenzy: 6
NamedEntity-Location: Entwicklungsinvestitionsfonds |frequenzy: 6
NamedEntity-Location: Radverkehrs |frequenzy: 6
NamedEntity-Location: Dunkeldeutschland |frequenzy: 6
NamedEntity-Location: Ehrlich |frequenzy: 6
NamedEntity-Location: Krawallen |frequenzy: 6
NamedEntity-Location: Funklöcher |frequenzy: 6
NamedEntity-Location: Massenunterkünften |frequenzy: 6
NamedEntity-Location: Nee |frequenzy: 6
NamedEntity-Location: Erstattungen |frequenzy: 6
NamedEntity-Location: Germersheim |frequenzy: 6
NamedEntity-Location: Lebensmittelpreisen |frequenzy: 6
NamedEntity-Location: Kontingente |frequenzy: 6
NamedEntity-Location: Trägern |frequenzy: 6
NamedEntity-Location: Verbraucher |frequenzy: 6
NamedEntity-Location: Unterfranken |frequenzy: 6
NamedEntity-Location: Kapstadt |frequenzy: 6
NamedEntity-Location: Jobmotor |frequenzy: 6
NamedEntity-Location: Kostengründen |frequenzy: 6
NamedEntity-Location: Belgier |frequenzy: 6
NamedEntity-Location: Dunkel |frequenzy: 6
NamedEntity-Location: Beschäftigter |frequenzy: 6
NamedEntity-Location: Verfassungsrang |frequenzy: 6
NamedEntity-Location: Familienleistungen |frequenzy: 6
NamedEntity-Location: KZ |frequenzy: 6
NamedEntity-Location: Prognose |frequenzy: 6
NamedEntity-Location: BImA |frequenzy: 6
NamedEntity-Location: Fahrrädern |frequenzy: 6
NamedEntity-Location: Rechtsbegriffen |frequenzy: 6
NamedEntity-Location: Seychellen |frequenzy: 6
NamedEntity-Location: wollen – |frequenzy: 6
NamedEntity-Location: Kotau |frequenzy: 6
NamedEntity-Location: Amt  |frequenzy: 6
NamedEntity-Location: ITER |frequenzy: 6
NamedEntity-Location: Eichsfeld |frequenzy: 6
NamedEntity-Location: Direktzahlungen-Durchführungsgesetzes |frequenzy: 6
NamedEntity-Location: Meppen |frequenzy: 6
NamedEntity-Location: Geringqualifizierte |frequenzy: 6
NamedEntity-Location: Birkenfeld |frequenzy: 6
NamedEntity-Location: Mitbürgerinnen |frequenzy: 6
NamedEntity-Location: deutschen Volk |frequenzy: 6
NamedEntity-Location: Wirtschaftsministerium |frequenzy: 6
NamedEntity-Location: Niemanden |frequenzy: 6
NamedEntity-Location: Steueraufkommens |frequenzy: 6
NamedEntity-Location: Nairobi |frequenzy: 6
NamedEntity-Location: Vectoring |frequenzy: 6
NamedEntity-Location: Herzliches Dankeschön |frequenzy: 6
NamedEntity-Location: Neuland |frequenzy: 6
NamedEntity-Location: Chefinnensache |frequenzy: 6
NamedEntity-Location: flexibler |frequenzy: 6
NamedEntity-Location: Lernende |frequenzy: 6
NamedEntity-Location: Effizienzgewinne |frequenzy: 6
NamedEntity-Location: Nirgends |frequenzy: 6
NamedEntity-Location: E3 |frequenzy: 6
NamedEntity-Location: Femizide |frequenzy: 6
NamedEntity-Location: Einkommensmillionäre |frequenzy: 6
NamedEntity-Location: Opferrolle |frequenzy: 6
NamedEntity-Location: Entwicklungsministerium |frequenzy: 6
NamedEntity-Location: Regen |frequenzy: 6
NamedEntity-Location: Herr Oellers |frequenzy: 6
NamedEntity-Location: Investmentfonds |frequenzy: 6
NamedEntity-Location: rein |frequenzy: 6
NamedEntity-Location: Bildungsfragen |frequenzy: 6
NamedEntity-Location: Römer |frequenzy: 6
NamedEntity-Location: Sachen Corona |frequenzy: 6
NamedEntity-Location: Mitrovica |frequenzy: 6
NamedEntity-Location: Schuldners |frequenzy: 6
NamedEntity-Location: Speckgürteln |frequenzy: 6
NamedEntity-Location: Schlachtfeld |frequenzy: 6
NamedEntity-Location: Aserbaidschans |frequenzy: 6
NamedEntity-Location: Westbalkans |frequenzy: 6
NamedEntity-Location: Weltklimakonferenz |frequenzy: 6
NamedEntity-Location: Kehl |frequenzy: 6
NamedEntity-Location: Brunsbüttel |frequenzy: 6
NamedEntity-Location: Vielehen |frequenzy: 6
NamedEntity-Location: Altersrente |frequenzy: 6
NamedEntity-Location: Stadt Hamburg |frequenzy: 6
NamedEntity-Location: Bundesfreiwilligendienstes |frequenzy: 6
NamedEntity-Location: Blankoscheck |frequenzy: 6
NamedEntity-Location: Ninive-Ebene |frequenzy: 6
NamedEntity-Location: Herr Sorge |frequenzy: 6
NamedEntity-Location: Zeitraums |frequenzy: 6
NamedEntity-Location: Sicherheitsbehörden |frequenzy: 6
NamedEntity-Location: Regenbogenfamilien |frequenzy: 6
NamedEntity-Location: Miet- |frequenzy: 6
NamedEntity-Location: Lippenbekenntnissen |frequenzy: 6
NamedEntity-Location: Country-by-Country |frequenzy: 6
NamedEntity-Location: Vatikan |frequenzy: 6
NamedEntity-Location: unverantwortlich |frequenzy: 6
NamedEntity-Location: Zweibrücken |frequenzy: 6
NamedEntity-Location: Konrad |frequenzy: 6
NamedEntity-Location: Beipackzettel |frequenzy: 6
NamedEntity-Location: Taxen |frequenzy: 6
NamedEntity-Location: Europawahl |frequenzy: 6
NamedEntity-Location: Besseres |frequenzy: 6
NamedEntity-Location: Spaniern |frequenzy: 6
NamedEntity-Location: Wunderbar |frequenzy: 6
NamedEntity-Location: Krisenszenarien |frequenzy: 6
NamedEntity-Location: Antragszahlen |frequenzy: 6
NamedEntity-Location: GmbHs |frequenzy: 6
NamedEntity-Location: kommen – |frequenzy: 6
NamedEntity-Location: Last |frequenzy: 6
NamedEntity-Location: Dutzenden |frequenzy: 6
NamedEntity-Location: Oberstdorf |frequenzy: 6
NamedEntity-Location: Inkasso |frequenzy: 6
NamedEntity-Location: Klimaabkommens |frequenzy: 6
NamedEntity-Location: Nebenjob |frequenzy: 6
NamedEntity-Location: Wildtieren |frequenzy: 6
NamedEntity-Location: Milchkanne |frequenzy: 6
NamedEntity-Location: Reichstagsgebäudes |frequenzy: 6
NamedEntity-Location: Leyens |frequenzy: 6
NamedEntity-Location: Grünland |frequenzy: 6
NamedEntity-Location: Auswärtigen Amt  |frequenzy: 6
NamedEntity-Location: Krebsforschung |frequenzy: 6
NamedEntity-Location: Außenministeriums |frequenzy: 6
NamedEntity-Location: Worum |frequenzy: 6
NamedEntity-Location: Habeck |frequenzy: 6
NamedEntity-Location: Nichtfinanzsektor |frequenzy: 6
NamedEntity-Location: Bonner Republik |frequenzy: 6
